obs_id,fare_id,info_id,journey_date,departure_time,arrival_time,arrival_day_offset,duration_minutes,total_stops,price
115,12,1,2019-06-27,07:00,12:55,0,355,1,5281.0
116,7,1,2019-05-18,07:05,22:30,0,925,1,10348.0
117,8,1,2019-03-06,17:20,09:25,1,965,1,12677.0
118,7,1,2019-03-03,15:25,01:35,1,610,1,15147.0
119,15,1,2019-06-12,07:00,09:40,0,160,0,4668.0
120,3,1,2019-05-09,07:05,19:00,0,715,1,15554.0
121,18,1,2019-04-09,05:55,08:35,0,160,0,3971.0
122,20,1,2019-05-03,15:00,16:25,0,85,0,3100.0
123,10,2,2019-05-06,20:00,10:05,1,845,1,9663.0
124,8,1,2019-03-01,23:00,19:15,1,1215,1,27430.0
125,21,1,2019-05-12,05:15,07:40,0,145,0,3540.0
126,2,1,2019-05-21,12:00,11:10,1,1390,2,10676.0
127,10,1,2019-06-12,14:05,08:15,1,1090,1,13044.0
128,10,1,2019-05-06,20:00,12:00,1,960,1,14388.0
129,1,1,2019-06-24,04:00,06:50,0,170,0,3943.0
130,21,1,2019-06-03,14:45,17:05,0,140,0,3597.0
131,13,1,2019-03-21,11:50,19:50,0,480,1,5932.0
132,3,2,2019-06-15,11:30,04:25,1,1015,1,10262.0
133,27,1,2019-05-12,14:40,17:50,0,190,0,6216.0
134,4,1,2019-06-15,20:25,23:10,0,165,0,4804.0
135,7,1,2019-05-21,11:30,01:30,1,840,1,14067.0
136,3,1,2019-05-18,19:10,19:00,1,1430,2,15129.0
137,3,1,2019-06-06,06:45,04:25,1,1300,2,13376.0
138,8,1,2019-06-27,22:00,19:15,1,1275,2,10441.0
139,6,2,2019-05-24,06:00,08:45,0,165,0,4030.0
140,3,1,2019-03-03,08:00,18:50,0,650,1,17024.0
141,7,1,2019-04-09,17:30,01:30,1,480,1,13017.0
142,28,1,2019-06-06,23:30,07:45,1,495,1,6686.0
143,14,1,2019-06-15,02:00,07:25,0,325,1,5636.0
144,14,1,2019-06-09,07:35,16:10,0,515,1,6442.0
145,7,1,2019-05-21,13:05,00:55,1,710,1,9486.0
146,10,2,2019-05-21,20:00,23:35,1,1655,1,10844.0
147,3,2,2019-06-03,20:00,04:25,1,505,2,15318.0
148,8,1,2019-04-03,12:30,09:25,1,1255,1,5117.0
149,14,1,2019-06-24,15:10,20:00,0,290,1,6147.0
150,7,1,2019-06-09,12:50,21:00,0,490,1,7005.0
151,5,1,2019-04-03,22:20,00:40,1,140,0,3873.0
152,3,2,2019-03-21,18:25,18:50,1,1465,2,9270.0
153,23,1,2019-06-27,11:40,14:30,0,170,0,3898.0
154,10,1,2019-05-12,08:25,20:45,0,740,1,14781.0
155,10,2,2019-05-24,20:00,08:15,1,735,1,8586.0
156,2,1,2019-05-09,08:20,07:55,1,1415,2,10697.0
157,3,1,2019-06-27,20:00,12:35,1,995,2,14300.0
158,1,1,2019-03-03,18:55,21:45,0,170,0,8855.0
159,10,2,2019-05-12,16:30,18:15,1,1545,1,10844.0
160,3,1,2019-03-06,02:15,04:25,1,1570,1,17024.0
161,10,2,2019-05-01,09:35,14:25,1,1730,1,9314.0
162,1,1,2019-03-24,00:40,03:25,0,165,0,4777.0
163,2,1,2019-06-09,12:00,13:15,1,1515,1,7662.0
164,14,1,2019-05-09,06:50,16:10,0,560,1,6442.0
165,11,1,2019-06-12,08:45,13:15,0,270,1,5264.0
166,3,2,2019-05-27,13:00,04:25,1,925,1,12898.0
167,20,1,2019-03-03,13:55,15:25,0,90,0,6092.0
168,18,1,2019-05-21,05:55,08:35,0,160,0,3311.0
169,3,2,2019-03-27,19:15,04:25,1,550,1,6540.0
170,1,1,2019-05-27,01:30,04:15,0,165,0,3419.0
171,3,2,2019-04-03,14:00,12:35,1,1355,1,5177.0
172,8,1,2019-04-18,18:05,21:10,0,185,0,8246.0
173,10,1,2019-06-09,09:35,21:05,0,690,1,14676.0
174,7,1,2019-06-27,11:30,21:00,0,570,1,13587.0
175,10,2,2019-05-06,21:10,09:20,1,730,1,9663.0
176,10,1,2019-06-12,16:30,10:05,1,1055,1,13044.0
177,14,1,2019-04-03,20:25,01:30,1,305,1,5073.0
178,26,1,2019-05-21,17:00,18:50,1,1550,1,9345.0
179,10,2,2019-05-06,14:05,10:05,1,1200,1,9663.0
180,7,1,2019-05-21,08:00,21:00,0,780,1,14277.0
181,3,2,2019-06-01,10:00,04:25,1,1105,1,10262.0
182,22,1,2019-03-27,19:35,21:05,0,90,0,5678.0
183,7,1,2019-05-15,16:00,01:30,1,570,1,13727.0
184,10,2,2019-05-06,20:00,12:00,1,960,1,9663.0
185,21,1,2019-05-12,14:45,17:05,0,140,0,3858.0
186,11,1,2019-06-24,08:45,13:15,0,270,1,4812.0
187,14,1,2019-06-27,21:50,03:35,1,345,1,5775.0
188,10,2,2019-06-06,09:35,09:45,1,1450,1,10539.0
189,4,1,2019-06-03,15:30,18:05,0,155,0,4804.0
190,17,1,2019-06-12,11:10,13:55,0,165,0,3383.0
191,1,1,2019-03-03,12:10,17:05,0,295,1,8738.0
192,8,1,2019-03-27,05:15,06:50,1,1535,1,7165.0
193,14,1,2019-06-24,16:10,22:30,0,380,1,6412.0
194,6,1,2019-06-27,18:55,22:00,0,185,0,8016.0
195,6,2,2019-03-12,20:35,15:15,1,1120,1,11087.0
196,25,3,2019-06-27,09:45,12:00,0,135,0,3543.0
197,10,1,2019-06-12,16:30,04:40,1,730,1,12471.0
198,3,2,2019-06-24,09:00,04:25,1,1165,1,10262.0
199,13,1,2019-03-18,13:20,16:10,0,170,0,4441.0
200,7,1,2019-03-27,07:05,15:30,0,505,1,12537.0
201,28,1,2019-03-24,22:25,07:40,1,555,1,10091.0
202,13,1,2019-06-03,21:05,23:55,0,170,0,6961.0
203,14,1,2019-04-24,05:35,08:50,0,195,0,5013.0
204,8,1,2019-05-18,05:10,08:00,0,170,0,6934.0
205,7,1,2019-06-03,06:40,19:00,0,740,1,10877.0
206,6,1,2019-04-18,15:15,18:10,0,175,0,7229.0
207,14,1,2019-03-27,16:00,01:35,1,575,1,7048.0
208,15,1,2019-06-27,17:00,19:35,0,155,0,4878.0
209,10,2,2019-05-21,14:05,23:35,0,570,1,10844.0
210,3,1,2019-05-18,23:05,04:25,1,1760,2,15129.0
211,1,1,2019-05-12,00:30,03:25,0,175,0,3943.0
212,11,1,2019-06-06,06:05,11:20,0,315,1,5583.0
213,7,1,2019-06-06,07:05,16:10,0,545,1,9646.0
214,7,1,2019-06-03,08:30,19:15,0,645,1,7677.0
215,14,1,2019-06-01,05:10,10:05,0,295,1,6842.0
216,22,2,2019-06-24,08:45,10:15,0,90,0,4995.0
217,26,1,2019-06-09,07:10,18:50,0,700,1,9555.0
218,1,1,2019-06-01,01:30,04:15,0,165,0,4077.0
219,6,1,2019-05-12,15:15,18:10,0,175,0,7229.0
220,7,1,2019-06-09,09:00,19:00,0,600,1,12192.0
221,13,1,2019-04-12,10:00,12:45,0,165,0,5911.0
222,8,1,2019-06-12,09:00,19:15,0,615,1,8372.0
223,22,2,2019-03-18,07:10,08:35,0,85,0,4995.0
224,7,1,2019-05-09,10:00,19:15,0,555,1,14323.0
225,3,1,2019-06-09,05:30,04:25,1,1375,2,13014.0
226,8,1,2019-06-06,14:25,19:15,1,1730,2,13591.0
227,3,1,2019-03-03,05:25,18:50,1,2245,2,18799.0
228,1,1,2019-04-27,23:30,02:20,1,170,0,3943.0
229,29,3,2019-05-21,05:45,07:15,0,90,0,1965.0
230,22,2,2019-05-27,10:20,11:50,0,90,0,4995.0
231,2,1,2019-03-24,16:50,18:30,1,1540,1,14641.0
232,2,1,2019-04-12,20:45,23:20,0,155,0,4460.0
233,8,1,2019-05-18,13:00,19:15,0,375,1,10191.0
234,3,2,2019-03-09,02:15,19:45,0,1050,1,13843.0
235,14,1,2019-05-01,21:50,03:35,1,345,1,6349.0
236,30,1,2019-05-01,10:20,12:55,0,155,0,4409.0
237,3,1,2019-03-06,18:15,19:45,1,1530,1,17024.0
238,7,1,2019-05-18,07:05,21:00,0,835,1,13727.0
239,1,1,2019-03-15,18:25,21:20,0,175,0,8855.0
240,7,1,2019-06-24,08:45,19:00,0,615,1,12524.0
241,6,1,2019-03-18,11:40,20:20,0,520,1,13555.0
242,10,2,2019-06-06,06:30,12:00,0,330,1,10844.0
243,7,1,2019-06-09,09:00,21:00,0,720,1,13587.0
244,25,3,2019-06-12,09:45,12:00,0,135,0,3543.0
245,16,1,2019-03-18,07:05,09:20,0,135,0,4842.0
246,1,1,2019-04-24,23:30,02:20,1,170,0,3943.0
247,3,2,2019-06-09,19:15,04:25,1,550,1,10577.0
248,14,1,2019-05-15,10:35,21:00,0,625,1,6979.0
249,16,1,2019-06-27,17:45,20:05,0,140,0,11982.0
250,11,1,2019-06-06,08:45,13:15,0,270,1,5264.0
251,27,1,2019-03-03,06:00,09:10,0,190,0,8001.0
252,8,1,2019-06-01,19:45,19:15,1,1410,2,10651.0
253,10,2,2019-05-24,16:30,19:50,1,1640,1,10844.0
254,7,1,2019-03-27,09:45,22:20,0,755,1,6601.0
255,8,1,2019-03-21,19:00,19:15,1,1455,1,6587.0
256,29,1,2019-03-21,13:10,14:30,0,80,0,3173.0
257,13,1,2019-05-09,10:00,12:45,0,165,0,5228.0
258,6,2,2019-06-21,07:10,10:10,0,180,0,5769.0
259,3,1,2019-06-06,08:00,19:00,0,660,1,14714.0
260,3,1,2019-06-03,05:30,19:00,0,810,2,13014.0
261,1,1,2019-06-03,22:10,01:00,1,170,0,3359.0
262,23,1,2019-03-03,20:55,23:50,0,175,0,6722.0
263,4,1,2019-03-18,09:35,12:20,0,165,0,4462.0
264,14,1,2019-03-09,04:55,16:10,0,675,1,6171.0
265,2,1,2019-05-21,05:50,20:25,0,875,2,12303.0
266,7,1,2019-03-21,11:40,01:35,1,835,1,7695.0
267,14,1,2019-06-24,11:25,01:30,1,845,1,5684.0
268,2,1,2019-06-12,16:50,07:55,1,905,1,8366.0
269,9,1,2019-03-01,11:40,13:55,0,135,0,19630.0
270,6,2,2019-03-06,14:05,05:05,1,900,1,13502.0
271,10,1,2019-05-01,21:10,10:05,1,775,1,14781.0
272,7,1,2019-06-12,07:10,16:10,0,540,1,6513.0
273,8,1,2019-06-01,07:00,19:15,0,735,1,9929.0
274,7,1,2019-06-06,17:50,01:30,1,460,2,18275.0
275,8,1,2019-04-09,06:05,09:25,1,1640,1,4487.0
276,24,1,2019-03-15,21:20,22:45,0,85,0,2754.0
277,20,1,2019-03-27,06:20,07:40,0,80,0,2575.0
278,5,1,2019-06-12,15:55,21:25,0,330,1,8224.0
279,8,1,2019-03-09,20:30,08:15,1,705,1,8991.0
280,14,1,2019-06-24,05:35,08:50,0,195,0,5000.0
281,10,2,2019-06-12,18:55,19:50,1,1495,1,8529.0
282,8,1,2019-03-03,06:05,09:25,1,1640,1,14042.0
283,6,2,2019-05-24,11:10,14:05,0,175,0,4030.0
284,10,2,2019-06-06,18:55,12:00,1,1025,1,10844.0
285,4,1,2019-05-06,21:25,00:05,1,160,0,4804.0
286,7,2,2019-05-27,17:30,01:30,1,480,1,7308.0
287,1,1,2019-05-12,16:55,19:55,0,180,0,4823.0
288,3,2,2019-06-24,09:00,12:35,1,1655,1,10262.0
289,3,2,2019-05-27,20:55,04:25,1,450,1,12898.0
290,13,1,2019-03-12,17:25,16:20,1,1375,2,12778.0
291,14,1,2019-03-03,04:45,13:20,0,515,1,14871.0
292,8,1,2019-03-21,13:20,19:15,1,1795,2,8708.0
293,10,2,2019-06-06,20:00,18:15,1,1335,1,10844.0
294,29,1,2019-03-06,05:45,07:05,0,80,0,4129.0
295,4,1,2019-05-18,21:25,00:05,1,160,0,4804.0
296,6,1,2019-05-06,08:20,11:20,0,180,0,7229.0
297,6,2,2019-03-21,07:00,19:10,0,730,1,7832.0
298,25,1,2019-03-18,09:30,12:05,0,155,0,3859.0
299,7,1,2019-06-06,07:30,19:15,0,705,1,9001.0
300,15,1,2019-05-09,17:00,19:35,0,155,0,4878.0
301,24,1,2019-05-03,02:35,04:05,0,90,0,2754.0
302,15,1,2019-06-27,07:00,09:40,0,160,0,4668.0
303,30,1,2019-05-12,10:20,12:55,0,155,0,5216.0
304,3,2,2019-06-06,05:30,04:25,1,1375,2,10368.0
305,14,1,2019-03-09,06:40,21:20,0,880,2,8146.0
306,3,1,2019-03-27,13:00,04:25,1,925,1,12242.0
307,6,2,2019-03-15,08:00,15:15,0,435,1,9134.0
308,8,1,2019-06-06,13:15,09:25,1,1210,2,10939.0
309,8,1,2019-06-06,10:55,07:40,1,1245,2,11753.0
310,5,1,2019-04-24,17:10,19:40,0,150,0,4174.0
311,10,2,2019-05-21,20:00,19:50,1,1430,1,10844.0
312,3,1,2019-06-03,16:00,19:00,1,1620,1,14714.0
313,10,2,2019-06-12,06:30,12:00,0,330,1,9899.0
314,14,1,2019-03-03,09:10,21:00,0,710,1,14871.0
315,21,1,2019-03-06,13:20,15:35,0,135,0,7295.0
316,8,1,2019-06-06,18:45,19:15,1,1470,2,13465.0
317,25,3,2019-05-21,17:45,20:05,0,140,0,3543.0
318,7,1,2019-06-27,19:00,01:30,1,390,1,7198.0
319,3,2,2019-06-01,08:00,04:25,1,1225,1,10262.0
320,4,1,2019-03-15,15:20,17:55,0,155,0,4148.0
321,6,1,2019-06-27,15:15,18:10,0,175,0,8016.0
322,3,2,2019-06-09,22:50,04:25,1,335,1,10262.0
323,5,3,2019-06-15,14:55,17:25,0,150,0,3841.0
324,6,1,2019-03-12,09:45,00:30,1,885,1,11507.0
325,10,1,2019-05-01,08:25,20:45,0,740,1,14781.0
326,3,1,2019-05-27,17:30,19:00,1,1530,1,16079.0
327,3,2,2019-05-27,22:50,04:25,1,335,1,12898.0
328,7,1,2019-03-06,07:30,19:15,0,705,1,15353.0
329,1,1,2019-03-24,18:25,21:20,0,175,0,7303.0
330,5,1,2019-03-24,15:05,20:45,0,340,1,6197.0
331,2,1,2019-06-09,09:10,13:15,0,245,1,8996.0
332,14,1,2019-03-21,14:20,22:20,0,480,1,6528.0
333,23,1,2019-04-09,20:55,23:40,0,165,0,4239.0
334,4,1,2019-03-12,20:25,23:05,0,160,0,4148.0
335,18,1,2019-05-24,21:10,00:05,1,175,0,3971.0
336,30,1,2019-05-06,07:35,23:30,0,955,1,5192.0
337,3,1,2019-04-09,13:25,12:35,1,1390,2,9483.0
338,3,1,2019-06-03,11:40,19:00,0,440,2,18804.0
339,8,1,2019-06-18,05:10,08:00,0,170,0,5201.0
340,3,1,2019-05-27,11:30,19:00,0,450,1,16079.0
341,6,2,2019-06-15,19:50,22:50,0,180,0,7229.0
342,7,1,2019-05-27,17:45,01:30,1,465,1,6795.0
343,10,1,2019-05-09,09:35,10:55,1,1520,1,10953.0
344,7,1,2019-06-24,15:05,01:30,1,625,2,15965.0
345,8,1,2019-04-09,12:55,19:15,1,1820,2,9968.0
346,4,1,2019-06-06,22:15,00:50,1,155,0,4804.0
347,3,1,2019-05-27,10:00,19:00,0,540,1,16079.0
348,3,2,2019-06-12,21:25,12:35,1,910,2,11507.0
349,2,1,2019-06-09,09:25,13:45,1,1700,2,11542.0
350,6,1,2019-04-24,17:45,20:45,0,180,0,7229.0
351,6,2,2019-04-27,06:00,08:45,0,165,0,4544.0
352,14,1,2019-05-15,05:10,10:05,0,295,1,6496.0
353,4,1,2019-06-15,21:25,00:05,1,160,0,4804.0
354,13,1,2019-03-01,11:05,09:15,1,1330,1,13439.0
355,3,2,2019-03-27,18:15,04:25,1,610,1,6540.0
356,1,1,2019-06-01,23:30,02:20,1,170,0,4591.0
357,1,1,2019-03-18,16:15,20:35,0,260,1,4437.0
358,31,1,2019-03-21,20:10,07:10,1,660,1,6151.0
359,6,2,2019-06-21,17:45,20:45,0,180,0,7754.0
360,3,2,2019-06-24,14:00,12:35,1,1355,1,10262.0
361,6,1,2019-06-09,18:55,22:00,0,185,0,8016.0
362,5,3,2019-03-24,06:55,09:35,0,160,0,4781.0
363,15,1,2019-06-27,11:30,14:20,0,170,0,4668.0
364,13,1,2019-03-06,11:50,08:55,1,1265,1,14594.0
365,10,1,2019-03-24,16:55,04:45,1,710,1,14231.0
366,8,1,2019-05-15,05:15,06:50,1,1535,1,8425.0
367,7,1,2019-06-12,07:05,22:30,0,925,1,9646.0
368,21,1,2019-03-03,14:40,17:05,0,145,0,7295.0
369,30,1,2019-04-09,06:50,10:30,0,220,1,5162.0
370,1,1,2019-03-09,18:25,21:20,0,175,0,6860.0
371,27,1,2019-04-15,06:00,09:10,0,190,0,6216.0
372,30,1,2019-05-24,07:35,19:25,0,710,1,5192.0
373,1,1,2019-04-09,20:00,22:50,0,170,0,4823.0
374,18,3,2019-04-03,09:30,12:20,0,170,0,3919.0
375,24,1,2019-06-03,19:05,20:35,0,90,0,2754.0
376,7,1,2019-05-09,07:30,19:00,0,690,1,9315.0
377,7,1,2019-03-27,10:00,18:50,0,530,1,11667.0
378,10,2,2019-06-12,08:25,04:40,1,1215,1,6224.0
379,2,1,2019-03-24,09:25,05:35,1,1210,2,13349.0
380,6,2,2019-03-18,16:55,09:00,1,965,1,11087.0
381,7,1,2019-03-06,13:00,01:35,1,755,1,15603.0
382,3,1,2019-05-09,19:30,12:35,1,1025,2,15129.0
383,1,1,2019-04-09,16:55,19:55,0,180,0,4823.0
384,26,1,2019-05-01,07:10,22:40,0,930,1,8452.0
385,7,1,2019-06-06,07:30,19:00,0,690,1,12524.0
386,25,1,2019-03-27,17:45,20:05,0,140,0,3384.0
387,3,2,2019-06-01,19:15,19:00,1,1425,1,10262.0
388,29,3,2019-06-18,13:15,14:45,0,90,0,1965.0
389,4,1,2019-05-18,22:15,00:50,1,155,0,4804.0
390,3,1,2019-05-27,18:15,19:00,1,1485,1,16079.0
391,3,1,2019-06-01,21:25,19:00,1,1295,2,13292.0
392,31,1,2019-05-09,07:55,13:25,0,330,1,6751.0
393,8,1,2019-05-15,07:00,19:15,0,735,1,8669.0
394,14,1,2019-03-03,17:30,01:35,1,485,1,14871.0
395,3,2,2019-05-21,14:00,19:00,0,300,1,12898.0
396,18,3,2019-06-06,09:30,12:20,0,170,0,3919.0
397,7,1,2019-03-01,12:50,19:15,0,385,1,36983.0
398,21,1,2019-06-03,19:35,21:55,0,140,0,3597.0
399,13,1,2019-03-09,17:00,19:45,0,165,0,10741.0
400,2,1,2019-06-06,16:50,05:35,1,765,2,11432.0
401,6,2,2019-03-12,18:55,10:45,1,950,1,11087.0
402,3,1,2019-06-03,09:35,12:35,1,1620,2,13292.0
403,8,1,2019-06-15,05:15,07:40,1,1585,3,10493.0
404,23,1,2019-03-09,07:45,10:40,0,175,0,7631.0
405,8,1,2019-06-06,06:50,07:40,1,1490,2,13381.0
406,10,1,2019-06-06,20:00,04:40,1,520,1,13731.0
407,8,1,2019-05-21,05:55,07:40,1,1545,2,11911.0
408,1,1,2019-04-18,23:30,02:20,1,170,0,4591.0
409,7,1,2019-06-03,13:00,19:15,0,375,1,14848.0
410,7,1,2019-06-12,08:45,19:15,0,630,1,8266.0
411,8,1,2019-05-18,17:15,19:15,1,1560,2,12392.0
412,10,1,2019-06-12,18:55,12:00,1,1025,1,13044.0
413,3,2,2019-05-21,07:05,04:25,1,1280,1,12898.0
414,3,1,2019-03-21,22:50,04:25,1,335,1,12242.0
415,1,1,2019-05-18,10:10,13:00,0,170,0,3943.0
416,26,1,2019-03-24,20:20,22:10,1,1550,1,11105.0
417,10,1,2019-05-12,21:10,09:20,1,730,1,14388.0
418,3,1,2019-05-18,19:30,12:35,1,1025,2,13014.0
419,7,1,2019-03-06,10:20,18:50,0,510,1,15411.0
420,3,1,2019-03-09,19:45,18:50,1,1385,1,16289.0
421,14,1,2019-05-15,06:50,16:10,0,560,1,6442.0
422,10,2,2019-05-18,08:25,16:20,0,475,1,10844.0
423,22,1,2019-05-18,10:20,11:50,0,90,0,5678.0
424,1,1,2019-04-12,23:30,02:20,1,170,0,6906.0
425,25,3,2019-05-21,09:45,12:00,0,135,0,3543.0
426,3,1,2019-06-06,09:00,19:00,0,600,1,14714.0
427,32,1,2019-03-03,16:00,18:35,0,155,0,11793.0
428,7,1,2019-05-15,11:30,19:15,0,465,1,14323.0
429,18,1,2019-04-09,21:10,00:05,1,175,0,3971.0
430,26,1,2019-05-06,20:20,22:40,1,1580,1,8452.0
431,15,1,2019-04-12,07:00,09:40,0,160,0,5403.0
